"eir","Access","Resistance_Level","Dosage","Fitness","IC50_S","half_life","MKR","Diagnostic","Dosage_2","seed","seasonality","scenario_name","Indicator","Treated_1","Treated_2","Treated_5","Treated_10","Treated_15","Treated_20","Treated_30","Treated_40","Treated_90","Treated_Total","Treated_infect_1","Treated_infect2","Treated_infect5","Treated_infect10","Treated_infect15","Treated_infect20","Treated_infect30","Treated_infect40","Treated_infect90","Treated_infectTotal"
75,0.3,1,1,1,0.01,21,3.45,20,30,2,"sesonality1","scenario_21_2.txt",NA,0.103015910023907,0.155577240802669,0.135085838233746,0.0932323783149477,0.062048535805968,0.0435967354249404,0.0258792815683397,0.0134920153110501,0.00653121061782397,0.0559890710382514,0.216621352264111,0.261228267499441,0.20530433805579,0.123017654010166,0.0750777163832293,0.0506025720578617,0.0294131613541689,0.0158940765086212,0.00899280296215747,0.0723857233135497
100,0.3,1,1,1,0.01,21,3.45,20,30,2,"sesonality1","scenario_22_2.txt",NA,0.110249131575727,0.16584063030402,0.140515640100758,0.094393980571615,0.0600141667929513,0.0395169172051942,0.0235388194186197,0.0131865386469237,0.00678064345032749,0.0563224043715847,0.217260846230072,0.267570975326165,0.207051439463268,0.121829409909049,0.0713607761537185,0.0452588436836863,0.0268740941404357,0.0159083848779213,0.00950243734743563,0.072340571738869
150,0.3,1,1,1,0.01,21,3.45,20,30,2,"sesonality1","scenario_23_2.txt",NA,0.115608063506891,0.168549427859388,0.142473005333326,0.0906411367653462,0.0548156460315273,0.0365475555355726,0.0214666649008423,0.0123434644313552,0.00668363829616801,0.0549420765027322,0.211376186897084,0.257506070329504,0.200829573953117,0.113149563751764,0.063977911201681,0.0418158664504726,0.0247473972122169,0.0153573977334698,0.00960949811208907,0.0701391023086169
250,0.3,1,1,1,0.01,21,3.45,20,30,2,"sesonality1","scenario_24_2.txt",NA,0.12617589743041,0.179684230734044,0.147946700415021,0.0933342982960335,0.0538166438090621,0.0323809483086251,0.0184976751427835,0.0121980671920176,0.00700493103248032,0.0557540983606557,0.214347722876841,0.258698869230056,0.198962702308057,0.113884607706654,0.0623832927391182,0.0369686755753618,0.0216121157599074,0.0153253505450268,0.0095450731081318,0.0699725538436898
5,0.5,1,1,1,0.01,21,3.45,20,30,2,"sesonality1","scenario_25_2.txt",NA,0.0322474665251759,0.059073605241472,0.0708028810124079,0.0802209998289318,0.0837303227439048,0.0812528400162925,0.0703320023803072,0.0491311847954643,0.0265531889343746,0.0626349726775956,0.286051400756787,0.33244471429387,0.373161046730664,0.320449936728953,0.252300809452079,0.199218633840818,0.14710065906468,0.0888678025578129,0.0439343050844117,0.159675513348701
10,0.5,1,1,1,0.01,21,3.45,20,30,2,"sesonality1","scenario_26_2.txt",NA,0.0493388375781866,0.0912017591960719,0.102060802993925,0.10481578847679,0.0983381585756893,0.0868736674298042,0.0700766420128638,0.0457756463838222,0.0222996881379425,0.0723207650273224,0.268073952648248,0.333037564640017,0.34474483236215,0.276835683811455,0.205653157199673,0.156083736996456,0.110761203488297,0.0655922238817838,0.0307792883901584,0.138068206556582
15,0.5,1,1,1,0.01,21,3.45,20,30,2,"sesonality1","scenario_27_2.txt",NA,0.0647936793945744,0.112586721846998,0.120087646251333,0.11513834566588,0.102467638864744,0.0851066078146966,0.0672383192215859,0.0428585385719534,0.0201616887779925,0.0761841530054645,0.270661560749095,0.338646673731928,0.325920086309939,0.250596852034955,0.183417761664203,0.134014936266422,0.0957293460176379,0.0566808477830582,0.0264017622845321,0.129102382225284
20,0.5,1,1,1,0.01,21,3.45,20,30,2,"sesonality1","scenario_28_2.txt",NA,0.0760085381142403,0.127191187596464,0.133080061847677,0.12241295863375,0.103665483574186,0.0855807588089933,0.0638393825698848,0.040072691450151,0.018553920826996,0.0785699453551913,0.270653582352259,0.335838167298329,0.324561401952977,0.243267112805984,0.171267862159118,0.12727868570231,0.0864059505003808,0.0509555210929419,0.0238003840780742,0.125523728535413
25,0.5,1,1,1,0.01,21,3.45,20,30,2,"sesonality1","scenario_29_2.txt",NA,0.082323579098012,0.137739520899461,0.140603287298097,0.12627969215932,0.104789314383283,0.0832579521930832,0.0599625300281643,0.0381345533026031,0.0175080000348806,0.0793546448087432,0.271939735839066,0.340351994252279,0.315453345892051,0.235270272454323,0.166541163479524,0.11800419760912,0.0781076807921908,0.0474538663925867,0.0225326557550569,0.122250720607351
30,0.5,1,1,1,0.01,21,3.45,20,30,2,"sesonality1","scenario_30_2.txt",NA,0.0909502557483559,0.146608566314048,0.148945669304946,0.130459898306586,0.105584482757961,0.0824899713431272,0.058587922347238,0.0351179615179294,0.017886773037998,0.0809885245901639,0.274791628629193,0.342095306274461,0.316150395941789,0.231503274295358,0.160499644231903,0.113828693419672,0.0750114395049751,0.0430838723681231,0.0232484034639955,0.121658565876734
40,0.5,1,1,1,0.01,21,3.45,20,30,2,"sesonality1","scenario_31_2.txt",NA,0.0999572647655594,0.157901873989937,0.156372528748214,0.130968342167883,0.102749881791631,0.0818907365731656,0.0568422527738699,0.0329514215617826,0.0161046332683803,0.0813830601092896,0.267302833421412,0.336485340703744,0.306441292661018,0.216788708424041,0.148057578461077,0.10950383945659,0.0712264038039382,0.040036457097816,0.0213882551649367,0.118456747268591
