"L","M","U","x","G","EIR","Resistance_level","Access","Dosage","Seasonality","drug"
-0.0274512033239166,-0.00945145276674087,0.00877132583506304,15,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.0292480564462817,-0.011450115500047,0.00807698887045443,16,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.0282061791838733,-0.00946368304448877,0.00951991453444355,17,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.0280801842818452,-0.00979968838410555,0.00856937596424467,18,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.0279004196264746,-0.0100345042914968,0.00878769576223903,19,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.0290162566696666,-0.00996035275102569,0.00840148215203434,20,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.029757148886418,-0.0109499764198878,0.00798924314137645,21,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.029485202166225,-0.0112159520487424,0.00736281774286181,22,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.0294523745086165,-0.0109012759304807,0.00890577871409826,23,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.029187874067357,-0.0108639033477731,0.00866572160076999,24,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.0290274397568566,-0.0107976780606036,0.00819704558060899,25,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.0288885843848417,-0.00931190173353375,0.00926515251387599,26,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.0296308451572305,-0.0105588201665364,0.00818329178923099,27,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.0292328492487558,-0.0109352065670511,0.0082741210254351,28,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.028399206774312,-0.0100984138997588,0.00950490801567166,29,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
-0.0284820396580473,-0.0105338597251726,0.00923344979785218,30,"Diagnostic",5,7,0.04,0,"sesonality1","A+B"
