"Survey","nHost","nInfect","nExpectd","nPatent","nTransmit","nTreatments1","nUncomp","innoculationsPerAgeGroup","innoculationsPerAgeGroup_2","Vector_Nv","Vector_Nv_2","inputEIR","simulatedEIR","nMDAs","nMassScreenings","nTreatDiagnostics","nInfectByGenotype","nInfectByGenotype_2","nPatentByGenotype","nPatentByGenotype_2","nHostDrugConcNonZero","nHostDrugConcNonZero_2","nHostDrugConcNonZero_3","nHostDrugConcNonZero_4","sumLogDrugConcNonZero","sumLogDrugConcNonZero_2","Inoculation_S","Inoculation_R","Infection_S","Infection_R","Patent_S","Patent_R"
111,1e+05,71987,98845.1,34070,0.0206845,8434,10886,1351000,80657.7,4129320,23575500,7.31297,3.1626,0,0,8544,70438,9505,24549,2001,0,22930,0,0,-81118.8,0,0.943661323513295,0.0563386764867049,0.881102785734836,0.118897214265164,0.924632768361582,0.0753672316384181
112,1e+05,71897,98845.5,34134,0.0208043,8506,10875,1353600,78851.5,4129320,23575500,7.31297,3.16435,0,0,8634,70378,9453,24608,2064,0,23033,0,0,-81425.6,0,0.944953459157256,0.0550465408427441,0.881587353283812,0.118412646716188,0.922615476904619,0.0773845230953809
113,1e+05,72029,98846.7,34045,0.0204549,8209,10730,1358910,81546.3,4129320,23575500,7.31297,3.18204,0,0,8322,70498,9521,24589,1991,0,22942,0,0,-81256.3,0,0.943388563748862,0.0566114362511379,0.881015758757295,0.118984241242705,0.925094055680963,0.0749059443190369
114,1e+05,71940,98845.1,34438,0.020639,8325,10899,1345640,79460.3,4129320,23575500,7.31297,3.14814,0,0,8443,70456,9423,24631,2007,0,22858,0,0,-81106.4,0,0.944242310523687,0.0557576894763126,0.882034076540768,0.117965923459232,0.924656505743674,0.0753434942563256
115,1e+05,72064,98846.6,34191,0.0206297,8410,10878,1355920,81930.9,4129320,23575500,7.31297,3.17629,0,0,8527,70496,9610,24551,2032,0,22884,0,0,-81074,0,0.943018500736064,0.0569814992639362,0.880033955009612,0.119966044990388,0.92356017003348,0.07643982996652
116,1e+05,72038,98847.8,34062,0.0209831,8403,10910,1361510,84564.5,4129320,23575500,7.31297,3.19448,0,0,8512,70423,9705,24434,2085,0,22935,0,0,-81035.1,0,0.941521339322421,0.0584786606775792,0.878881289936102,0.121118710063898,0.921377125834308,0.0786228741656925
117,1e+05,72264,98849,34410,0.0207355,8431,10904,1368990,81960.2,4129320,23575500,7.31297,3.20523,0,0,8538,70703,9664,24657,2066,0,23053,0,0,-81448,0,0.943512740823221,0.0564872591767795,0.879751639354461,0.120248360645539,0.922688320922052,0.0773116790779478
118,1e+05,72188,98848.5,34462,0.0208306,8475,10964,1362500,83469.5,4129320,23575500,7.31297,3.19424,0,0,8586,70635,9630,24880,2030,0,23183,0,0,-82237,0,0.942274370240866,0.0577256297591339,0.88002242571482,0.11997757428518,0.924563359345968,0.075436640654032
119,1e+05,72271,98848.7,34320,0.0206787,8375,10780,1366500,81163,4129320,23575500,7.31297,3.19801,0,0,8471,70767,9599,24742,2022,0,23033,0,0,-81697.7,0,0.943935156179304,0.0560648438206958,0.880558942836523,0.119441057163477,0.92445075474518,0.0755492452548199
120,1e+05,72418,98848.9,34758,0.0210837,8310,10889,1368000,79998.7,4129320,23575500,7.31297,3.19872,0,0,8445,70926,9604,25062,2022,0,22976,0,0,-81377.3,0,0.944752229404626,0.0552477705953742,0.880740096858314,0.119259903141686,0.925343376163048,0.0746566238369517
121,1e+05,72188,98851,34419,0.0209307,8614,11016,1381430,81203.5,4129320,23575500,7.31297,3.23105,0,0,8751,70730,9583,24757,2046,0,23202,0,0,-81887.3,0,0.944481307176405,0.0555186928235952,0.880679342074135,0.119320657925865,0.923665261351341,0.0763347386486587
